lucode,LULC_desc,LULC_veg,root_depth,Kc
0,NoData,0,0,0
100,ArableLand,1,1000,0.65
110,RiceField,1,1000,0.65
120,ImperviousSurface,0,0,0.29
130,AgriculturalVegetation,1,1000,0.65
140,PermanentCropland,1,2250,0.825
150,InactiveAgriculturalLand,1,1175,0.365
200,Forest,1,3500,1
210,BroadleafForest,1,3500,1
211,BroadleafForest,1,3500,1
212,BroadleafForest,1,3500,1
220,ConiferousForest,1,3500,1
221,ConiferousForest,1,3500,1
222,ConiferousForest,1,3500,1
230,MixedForest,1,3500,1
231,MixedForest,1,3500,1
232,MixedForest,1,3500,1
240,ForestPlantation,1,3500,1
241,ForestPlantation,1,3500,1
242,SparseVegetation,1,1175,0.365
250,ForestPlantation,1,3500,1
251,ForestPlantation,1,3500,1
252,SparseVegetation,1,1175,0.365
300,Grassland,1,2000,0.65
310,Pastureland,1,2000,0.65
311,Pastureland,1,2000,0.65
312,Pastureland,1,2000,0.65
320,Grassland,1,2000,0.65
330,SparseHerbaceousCover,1,1175,0.365
400,Shrubland,1,2000,0.5
410,Shrubland,1,2000,0.5
420,OpenSavanna,1,2750,0.75
430,Shrubland,1,2000,0.5
440,PermanentCropland,1,2250,0.825
450,SparseShrubCover,1,1175,0.365
500,Wetland,0,2000,0.5
510,Wetland,0,2000,0.5
520,IntertidalFlat,0,500,0.2
530,Wetland,0,2000,0.5
600,WaterBody,0,10,1
610,StillWaterBody,0,10,1
620,StillWaterBody,0,10,1
630,Watercourse,0,10,1
640,MarineWaterBody,0,10,1
800,ArtificialSurface,0,0,0.29
900,BareArea,0,500,0.2
910,BareArea,0,500,0.2
920,BeachDuneAndSand,0,500,0.2
930,BareRock,0,500,0.2
931,BareRock,0,500,0.2
932,BareRock,0,500,0.2
1000,GlacierAndPerpetualSnow,0,0,0.4
1010,GlacierAndPerpetualSnow,0,0,0.4
1020,GlacierAndPerpetualSnow,0,0,0.4
1200,NoData,0,0,0
1210,NoData,0,0,0
