lucode,LULC_name,C_above,C_below,C_soil,C_dead
0,NoData,0,0,0,0
100,ArableLand,5,0,0,0
110,RiceField,5,0,0,0
120,ImperviousSurface,0,0,0,0
130,AgriculturalVegetation,5,0,0,0
140,PermanentCropland,5,0,0,0
150,InactiveAgriculturalLand,5,0,0,0
200,Forest,101.5,0,0,0
210,BroadleafForest,101,0,0,0
211,BroadleafForest,101,0,0,0
212,BroadleafForest,101,0,0,0
220,ConiferousForest,102,0,0,0
221,ConiferousForest,102,0,0,0
222,ConiferousForest,102,0,0,0
230,MixedForest,91,0,0,0
231,MixedForest,91,0,0,0
232,MixedForest,91,0,0,0
240,ForestPlantation,50,0,0,0
241,ForestPlantation,50,0,0,0
242,SparseVegetation,2.5,0,0,0
250,ForestPlantation,50,0,0,0
251,ForestPlantation,50,0,0,0
252,SparseVegetation,2.5,0,0,0
300,Grassland,4.5,0,0,0
310,Pastureland,4.5,0,0,0
311,Pastureland,4.5,0,0,0
312,Pastureland,4.5,0,0,0
320,Grassland,4.5,0,0,0
330,SparseHerbaceousCover,2.5,0,0,0
400,Shrubland,32,0,0,0
410,Shrubland,32,0,0,0
420,OpenSavanna,49,0,0,0
430,Shrubland,32,0,0,0
440,PermanentCropland,5,0,0,0
450,SparseShrubCover,2.5,0,0,0
500,Wetland,32,0,0,0
510,Wetland,32,0,0,0
520,IntertidalFlat,1,0,0,0
530,Wetland,32,0,0,0
600,WaterBody,0,0,0,0
610,StillWaterBody,0,0,0,0
620,StillWaterBody,0,0,0,0
630,Watercourse,0,0,0,0
640,MarineWaterBody,0,0,0,0
800,ArtificialSurface,0,0,0,0
900,BareArea,1,0,0,0
910,BareArea,1,0,0,0
920,BeachDuneAndSand,1,0,0,0
930,BareRock,1,0,0,0
931,BareRock,1,0,0,0
932,BareRock,1,0,0,0
1000,GlacierAndPerpetualSnow,0,0,0,0
1010,GlacierAndPerpetualSnow,0,0,0,0
1020,GlacierAndPerpetualSnow,0,0,0,0
1200,NoData,0,0,0,0
1210,NoData,0,0,0,0
